id,sender,body,type
59,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs5000.0 on 29Oct22 transfer to IndianClearingCorp Ref No 230280692976. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
60,BZ-GROWWZ,Your order for PGIM India Midcap Opportunities Fund Direct Growth of Rs. 10000 has been confirmed. Your investment will be reflected on the dashboard in 3 working days. - Groww,banking
61,AD-SBIUPI,"Dear SBI UPI User, ur A/cX7819 credited by Rs1000 on 29Oct22 by  (Ref no 230284310801)",banking
62,AD-650025,Don't miss out watching on 15+ OTTs on your Big Screen! Enjoy festive season discounts & get Airtel Xstream Box at just Rs 1500! Book Now i.airtel.in/DTH-HDC,spam
64,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
65,AZ-AIRTEL,"90% Alert!: for your daily highspeed data limit. Get 3GB + FREE 2GB (on Airtel Thanks App) at Rs58, valid till current pack. Recharge now i.airtel.in/D58",spam
66,AZ-AIRTEL,"100% ALERT!: for your daily highspeed data limit. Get 3GB + FREE 2GB (on Airtel Thanks App) at Rs58, valid till current pack. Recharge now i.airtel.in/D58",spam
67,AD-ARTLTV,"Congratulations! Your, 719.0 recharge offers you FREE 84 DAYS of access to live sports, blockbusters hits like College Romance 3,Maharani S2,The Kapil Sharma Show & more on your Airtel Xstream app at no extra cost. Stream now. https://open.airtelxstream.in/WCF719ii",bill
68,SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs132.0 on 29Oct22 transfer to A D Mart Ref No 230287972658. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
69,AD-ARXTRM,"Congratulations on your recent recharge of 719 Xstream mobile pack. Enjoy 84 days of access to blockbusters movies and web series like Good Bad Girl, Feels Like Home 2, College Romance 3 and more on your Airtel Xstream app at no extra cost. To claim your benefit download the latest version of Airtel Xstream app open.airtelxstream.in/XMPD0",bill
70,JM-myCAMS,Your one time password OTP is 42613 for your transaction. Please complete this trxn within 10 mins - myCAMS,otp
71,AZ-AIRTEL,"50 MB high speed data: left in your current pack. To continue using high speed data, recharge with Rs118 pack to get 12GB. Visit i.airtel.in/Rcharge",spam
72,AD-AIRSLF,Your purchase of Xstream from the Airtel Shop is successful. Visit u.airtel.in/purchases for more details.,spam
73,BP-TWCLUB,"<#>To complete your registration on 12% Club, please enter OTP 2363. If unauthorised, email support@twelve.club D/WyK6jVuHn",otp
74,BZ-TWCLUB,Congratulations 12% Club UserYou're an exclusive 12% club member.Check details by clicking here: https://12club.in/homeEarn or borrow @12% interest,spam
75,AX-ADHAAR,OTP for Aadhaar (XX1437) is 782726 (valid for 10 mins). You may order Aadhaar PVC Card via speed post by paying Rs 50.More details at uidai.gov.in,otp
76,BX-TWCLUB,Hi ROHAN UMESH KAVARI OTP to digitally sign 12% Club agreement is 1550. Enter it on your 12% Club app to agree to 12% T&Cs. D/WyK6jVuHn,otp
77,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs1000.0 on 30Oct22 transfer to 12 Percent Club Ref No 230324948921. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
78,BX-TWCLUB,"Hi ROHAN UMESH KAVARI,You have successfully added Rs.1000.0 to your 12% Club account. Updated Balance is Rs.1000.0 on which you will earn up to 12% interest daily. Transaction ID is 36954496. Check details: https://12club.in/tdeposit",banking
79,AZ-650007,"Special data pack aap jaise data lover ke liye! Anand le 1GB/din,30din,3 mahine ka Disney+ Hotstar Mobile subscription Rs181 Airtel pack mein.Benefit maujooda UL pack benefit ke atirikt hai. i.airtel.in/RC181",spam
80,JM-myCAMS,Your one time password OTP is 55548 for your transaction. Please complete this trxn within 10 mins - myCAMS,otp
81,AD-650025,YOU can now Stream content without any interruption! Just switch to Airtel Xstream Fiber & get 16+ OTTs along with superfast WiFi speed at just Rs 699! i.airtel.in/killerspeed,spam
82,AD-650022,"Your loved ones are just a talk away! Get Airtel Xsafe, a smart home surveillance solution with built-in speakers & mic for 2-way talk. https://i.airtel.in/XSafeTwo-Way-Talk",spam
83,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
84,AD-ARXTRM,"Congratulations. Your recent 719 recharge offers you FREE 84 days access to blockbusters hits like Top Content from SonyLIV,ErosNow,Lionsgate Play,hoichoi,manoramaMax & more and more on your Airtel Xstream app. Stream now. open.airtelxstream.in/XMPD1",spam
85,AD-JLRUMY,"Dear 72195751XX, Free Rs. 8850 Diwali welcome bonus can be credited to your Junglee Rummy account. Download Now & Claim: https://1.gmg.im/bCIJWT",spam
86,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs30.0 on 31Oct22 transfer to Mr  ASFIYA M Ref No 230425341418. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
87,SBIUPI,"Dear SBI UPI User, ur A/cX7819 credited by Rs118 on 31Oct22 by  (Ref no 230487093483)",banking
88,CP-GROWWZ,Your order for PGIM India Midcap Opportunities Fund Direct Growth of Rs. 10000 has been confirmed. Your investment will be reflected on the dashboard in 3 working days. - Groww,banking
89,TM-MYNTRA,ARRIVING TODAY: Our Delivery Agent (+917948220373) will bring your order with 1 Mast & Harbour Swe... by 9PM today. Use Pin 7219575184 if prompted. - Team Myntra.,spam
90,AD-ARTLTV,"Congratulations on your recent recharge of Xstream mobile pack. Enjoy 82 DAYS of access to live sports, blockbusters movies and web-series like College Romance 3,Maharani S2,The Kapil Sharma Show & more on your Airtel Xstream app at no extra cost. Stream now. https://open.airtelxstream.in/WCF719mid",spam
91,AD-650022,You're 1 STEP away from enjoying up to 1 Gbps WiFi speed! Just switch to Airtel Xstream Fiber & experience a world of superfast WiFi speed & benefits like never before. i.airtel.in/free-router,spam
92,AD-JLRUMY,"Dear 72195751XX, Free Rs. 8850 Diwali welcome bonus can be credited to your Junglee Rummy account. Download Now & Claim: https://1.gmg.im/blJei3",spam
93,MYNTRA,Delivered: We hope 1 Mast & Harbour Swe... made you smile! All items have been delivered. We'd love to hear about your experience: http://mntr.se/prCWH4KcPgUNbe/ . - Team Myntra.,spam
94,CP-398768,Final call for Data Science Scholarship offer (Ending Tonight)Power ahead in your AI & ML Career weurl.co/XoTdWO -Analytics Vidhya,spam
95,AD-ARXTRM,"बधाई हो! आपका हाल ही में 719 का रीचार्ज आपको Airtel Xstream ऐप पर 84 दिनों के लिए Good Bad Girl, College Romance 3, Maharani 2 जैसी ब्लॉकबस्टर हिट्स का मुफ़्त एक्सेस देता है। अभी स्ट्रीम करें open.airtelxstream.in/XMPD1H",spam
96,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs420.0 on 31Oct22 transfer to SAFELIFE PHARMA Ref No 230445331698. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
97,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
98,BP-PGIMMF,"Dear Investor,  Your additional purchase request in PGIM India Midcap Opportunities Fundfor Rs 9999.50 has been processed under Folio 9106418633 at the NAV of Rs. 50.21. - PGIM India MF",banking
99,BK-PGIMMF,"Dear Investor, SIP purchase of Rs. 7499.63 in PGIM India Midcap Opportunities Fund under Folio 9106418633 is processed at the NAV of Rs. 50.21. Unit allotment is subject to verification - PGIM India MF",banking
100,VM-RCNTRO,"Dear Customer,Reliance opens Premium Fashion store 'CENTRO' at KarveRd,Nr Garwarecollege,Pune. Enjoy from over 300 + Top Fashionable BrandsGet Rs.1000 Voucher on shop of Rs.5000 or Rs.3000 Voucher on shop of Rs.10000 TnCSee you at store",spam
101,CP-AXISMF,"Dear Investor, Payment of Rs. 4999.75 towards your SIP in Axis Small Cap Fund Direct Growth has been received and 70.389 units at NAV 71.03 are allotted in Folio XXXXXXXX8994. Axis MF",banking
102,AZ-AlRTEL,Avrodh 2 ab Airtel Xstream App par! Payein FREE SonyLiv subscription Airtel Xstream par bina kisi atirikt shulk ke.open.airtelxstream.in/Claim,spam
103,VD-ICICIB,"Dear Customer, your ICICI Bank Account XX977 has been credited with INR 29,678.00 on 01-Nov-22. Info:CMS* CMS2921205219*MYTRUX E COMMERC. The Available Balance is INR 29,678.00.",banking
104,VK-ICICIB,ICICI Bank Acct XX977 debited for Rs 29678.00 on 01-Nov-22; Rohan Umesh Kav credited. UPI:230524308157. Call 18002662 for dispute. SMS BLOCK 977 to 9215676766.,banking
105,TX-vONEMG,"Dear CustomerPayday Sale is LIVEFlat 20% off on medicines, 3-hour delivery+1% NeuCoins on all orders*Buy klr.pw/9DrADc/ctCAShTata 1mg",spam
106,AD-ARTLTV,"Congratulations on your recent recharge of Xstream mobile pack. Enjoy 80 DAYS of access to live sports, blockbusters movies and web-series like College Romance 3,Maharani S2,The Kapil Sharma Show & more on your Airtel Xstream app at no extra cost. Stream now. https://open.airtelxstream.in/WCF719mid",spam
107,VM-PBHTLH,"Exclusive Rs. 10,00,000 Health Plan that covers your Hosp.+Pharma+Lab Bills. Compare- http://nmc.sg/Vk9yY5JP Policybazaar Insurance Brokers. T&C",spam
108,AD-650025,Pick up from where you left off! Enjoy MEGA price drop this cricket season! Get Airtel Xstream Box at just Rs 1500. Book Now i.airtel.in/DTH-R3,spam
109,AD-650022,"Dear Anupama Umesh Kavari , You're pre-qualified for Airtel Axis Bank Credit Card with credit limit of up to Rs 500000 and annual cashback of Rs 18000. Apply today i.airtel.in/CC_NTC_90A",spam
110,NBHome,"Hi rohan kavari, is your 1 BHK still available for rent? NoBroker can make it visible for top seekers on its page if you click the link below. https://u1.mnge.co/2Bzygl2",spam
111,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs65.0 on 02Nov22 transfer to A D Mart Ref No 230696716928. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
112,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
113,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs200.0 on 03Nov22 transfer to RAHUL SHRIKUMAR Ref No 230719841394. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
114,AZ-AlRTEL,Avrodh 2 ab Airtel Xstream App par! Payein FREE SonyLiv subscription Airtel Xstream par bina kisi atirikt shulk ke.open.airtelxstream.in/Claim,spam
115,VK-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 15-10-22 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
116,CP-398768,"Hi,10,000+ Professionals followed this Roadmap to become Top Data scientists!Download FREE Roadmap: weurl.co/0oQeD5 -Analytics Vidhya",spam
117,AD-650025,"तुमच्यासारख्या स्मार्ट सेव्हरसाठी सर्वोत्तम वैल्यू! मिळवा 75GB डाटा रोलओव्हर सह, Amazon प्राइम आणि बरेच काही केवळ रु499 मध्ये. आजच पोस्टपेडवर स्विच करा i.airtel.in/ej",spam
118,NBHome,Looking to buy property? Get end to end interior solutions for your new home at the lowest prices with NoBroker home interiors. Click https://u1.mnge.co/1Zwlvm3,spam
119,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs48.0 on 03Nov22 transfer to PinelabsPOS Ref No 230717209102. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
120,51401,Your Uber code is 5574. Never share this code. qlRnn4A1sbt,otp
121,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs136.0 on 03Nov22 transfer to SHINDE ENTERPRISES Ref No 230723512880. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
122,SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs200.0 on 03Nov22 transfer to STEPHEN SUNIL Ref No 230723890162. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
123,AD-CAMSNP,"Dear Investor, this message is sent on behalf of MFs serviced by CAMS. We request you to participate in the Vigilance Awareness Week for ""Corruption free India for a developed Nation"" by taking e-pledge on CVC website https://pledge.cvc.nic.in/ - CAMS",spam
124,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
125,AZ-AIRTEL,50% अलर्ट!: तुमच्या दैनंदिन हायस्पीड डाटा लिमिटसाठी. 12GB डेटा फक्त,spam
126,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs78.0 on 04Nov22 transfer to A D Mart Ref No 230825550565. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
127,9.18977E+11,YONOREG ed775260bafa0facab497d15b1b441303da03b98364d69ef3cd7561f207675980ebe8cd5ca9ab94a1faa9ee108c643aef50b5eec08fc49e1985746992f3823ea,spam
128,VM-RTRNDS,"Dear Customer,Get your Perfect Wedding look @ TRENDS. Shop from latest collection Rs3499 & get exciting gift @Rs199. Hurry! Visit ur nearest store NOW. T&C",spam
129,My11Circle,"AUS (🇦🇺) vs (🇦🇫) AFG T20 Today! ₹1.31 Crores Prize Pool On My11Circle.- Register FREE- Create a Fantasy Team- Join Cash Prize ContestsMake your team now, 👉 1mm.in/my11C?offr=avaf",spam
130,AD-ARTLTV,"Congratulations on your recent recharge of Xstream mobile pack. Enjoy 78 DAYS of access to live sports, blockbusters movies and web-series like College Romance 3,Maharani S2,The Kapil Sharma Show & more on your Airtel Xstream app at no extra cost. Stream now. https://open.airtelxstream.in/WCF719mid",spam
131,SHALRT,Congratulations! Your profile is shortlisted. CTC 4-55 Lacs. Complete now klr.pw/5iMvEc/.Team Shine,spam
132,BP-LNKART,"Dear Customer, CREDIT of Rs.1000 to your Lenskart account has been extended. Shop Eyewear worth Rs.3500 & above to avail the offer now.Use Code: LR2-18Z5Q-4ULZ Offer Ends Nov 10.TnCApp: lskt.me/jj",spam
133,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs100.0 on 04Nov22 transfer to SAFELIFE PHARMA Ref No 230846277348. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
134,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs504.0 on 04Nov22 transfer to PINGARA Ref No 230860577243. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
135,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
136,BK-PGIMMF,"Vigilance Awareness Week 2022 is being observed from Oct 31-Nov 6, 2022. The theme is Corruption free India for a developed Nation. Click here to take the pledge https://pledge.cvc.nic.in/    PGIM India MF",spam
137,VK-RCNTRO,"Dear Customer,Reliance opens Premium Fashion store 'CENTRO' at KarveRd,Nr Garwarecollege,Pune. Enjoy from over 300 + Top Fashionable BrandsGet Rs.1000 Voucher on shop of Rs.5000 or Rs.3000 Voucher on shop of Rs.10000 TnCSee you at store",spam
138,AD-AIRTEL,"Do not miss out on superior indoor coverage with Airtel WiFi Calling! For better experience, change your smartphone settings today. Click u.airtel.in/hKOOl5",spam
139,My11Circle,"IND (🇮🇳󠁧󠁢) vs (🇿🇼) ZIM Mega T20 ! ₹2.63 Crores Prize Pool On My11Circle.- Register FREE- Create a Fantasy Team- Join Cash Prize ContestsMake your team now, 👉 1mm.in/my-11C?offr=ivz",spam
140,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs180.0 on 05Nov22 transfer to STEPHEN SUNIL Ref No 230974033440. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
141,AZ-AlRTEL,Avrodh 2 ab Airtel Xstream App par! Payein FREE SonyLiv subscription Airtel Xstream par bina kisi atirikt shulk ke.open.airtelxstream.in/Claim,spam
142,CP-398768,"Hi,10,000+ Professionals followed this Roadmap to become Top Data scientists!Download FREE Roadmap: weurl.co/2o5y24 -Analytics Vidhya",spam
143,9.18087E+11,I'll call you back later.,spam
144,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs40.0 on 05Nov22 transfer to Urban Ref No 230963559836. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
145,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs40.0 on 05Nov22 transfer to PANCHVATI  MARKET Ref No 230998625732. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
146,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs20.0 on 05Nov22 transfer to PANCHVATI  MARKET Ref No 230926626862. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
147,51404,635270 is your verification code for Hinge - Dating & Relationships.,otp
148,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs90.0 on 05Nov22 transfer to Mr  ONKAR Ref No 230967897666. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
